park_id,name_en,latitude,longitude,district_en
tdc1p1,Lee Garden One Car Park,22.27859811,114.1847926,Wan Chai
tdc1p3,Leighton Car Park,22.27776811,114.1831004,Wan Chai
tdc1p2,Lee Garden Two Car Park,22.27825194,114.1859444,Wan Chai
tdc2p1,Car Park 1 (Hourly),22.31322343,113.9366562,Islands
tdc2p4,Car Park 4 - Indoor Zone (Hourly),22.31773139,113.9340419,Islands
tdc2p5,Car Park 4 - Indoor Zone (Long-term),22.31844975,113.9343713,Islands
tdc2p6,Car Park 4 - Outdoor Zone (Hourly),22.31821796,113.933997,Islands
tdc2p7,Car Park 4 - Outdoor Zone (Long-term),22.31797036,113.9341282,Islands
tdcp2,Rumsey Street Car Park,22.28740848,114.1532269,Central & Western
tdcp3,Tsuen Wan Car Park,22.37284735,114.1186025,Tsuen Wan
tdcp5,City Hall Car Park,22.28191055,114.1621397,Central & Western
tdcp6,Kwai Fong Car Park,22.35548531,114.1273145,Kwai Tsing
tdcp7,Kennedy Town Car Park,22.28177031,114.1288564,Central & Western
tdcp8,Star Ferry Car Park,22.28275461,114.1604398,Central & Western
tdcp9,Shau Kei Wan Car Park,22.27879407,114.2292773,Eastern
tdcp10,Aberdeen Car Park,22.25027272,114.156618,Southern
tdcp11,Tin Hau Car Park,22.28288221,114.1916651,Wan Chai
tdcp12,Sheung Fung Street Car Park,22.34395897,114.197059,Wong Tai Sin
tdc20p1,Hong Kong Wetland Park Car Park,22.4692249,114.0045853,Yuen Long
tdc5p3,Wu Chung House,22.27437133,114.1724732,Wan Chai
tdc5p1,Hopewell Centre ,22.2745918,114.1716734,Wan Chai
tdc32p4,Pok Hong Estate,22.37539675,114.1931668,Sha Tin
tdc8p1,MTR Tsing Yi Station Car Park,22.35841532,114.1073312,Kwai Tsing
tdc8p2,MTR Kowloon Station Car Park,22.30501366,114.161919,Yau Tsim Mong
tdc8p3,MTR Hong Kong Station Car Park,22.28592246,114.1575059,Central & Western
tdc8p7,MTR Maritime Square Car Park,22.35819831,114.1066905,Kwai Tsing
tdc8p8,Popcorn I Carpark,22.30801868,114.2592228,Sai Kung
tdc8p9,Paradise Mall Carpark,22.27800091,114.2388966,Eastern
tdc8p10,ELEMENTS Carpark,22.30493235,114.1615793,Yau Tsim Mong
tdc8p11,MTR Ocean Park Station Car Park,22.2487634,114.1744993,Southern
tdc10p1,Sai Kung Government Offices Car Park,22.382026,114.272443,Sai Kung
tdc1p4,Hysan Place Car Park,22.27990769,114.1834096,Wan Chai
tdc14p3309,Tin Chak Car Park A ,22.46684,113.997449,Yuen Long
tdc14p3306,T Town North Car Park,22.462466,113.998936,Yuen Long
tdc14p3307,Tin Yuet Car Park,22.462589,114.000443,Yuen Long
tdc14p3303,Tin Wah Car Park ,22.461156,113.996398,Yuen Long
tdc14p3304,T Town South Car Park,22.461066,113.99724,Yuen Long
tdc14p3301,Tin Shui Car Park ,22.456333,113.998435,Yuen Long
tdc14p3216,Mei Lam Car Park ,22.37805,114.175472,Sha Tin
tdc14p3204,Lung Hang  A Car Park ,22.368096,114.179012,Sha Tin
tdc14p3206,Sun Chui Car Park ,22.370813,114.182751,Sha Tin
tdc14p2119,Choi Yuen Car Park B,22.500256,114.127127,North
tdc14p2120,Choi Yuen Car Park C,22.500147,114.126765,North
tdc14p2121,Choi Yuen D,22.500501,114.128343,North
