park_id,latitude,longitude,district_en,height,remark_en
tdc1p1,22.27859811,114.18479255,Wan Chai,2.0,"Height Limit: 
Electric Vehicle Charging Service is now available at B3/F of Lee Garden One Car Park (1 no.), B1/F of Lee Garden Two Car Park (1 no.) and 4/F of Leighton Car Park (1 no.).<br><br>Tesla Superchargers are also in service on the B3/F of Lee Garden One Car Park (2 nos.)."
tdc1p3,22.27776811,114.18310035,Wan Chai,1.9,"Height Limit: 
Electric Vehicle Charging Service is now available at B3/F of Lee Garden One Car Park (1 no.), B1/F of Lee Garden Two Car Park (1 no.) and 4/F of Leighton Car Park (1 no.).<br><br>Tesla Superchargers are also in service on the B3/F of Lee Garden One Car Park (2 nos.)."
tdc1p2,22.27825194,114.18594438,Wan Chai,2.1,"Height Limit: 
Electric Vehicle Charging Service is now available at B3/F of Lee Garden One Car Park (1 no.), B1/F of Lee Garden Two Car Park (1 no.) and 4/F of Leighton Car Park (1 no.).<br><br>Tesla Superchargers are also in service on the B3/F of Lee Garden One Car Park (2 nos.)."
tdc2p1,22.31322343,113.9366562,Islands,0.0,"Height Limit: 
"
tdc2p4,22.31773139,113.93404192,Islands,2.0,"Height Limit: 
"
tdc2p5,22.31844975,113.93437125,Islands,2.0,"Height Limit: 
"
tdc2p6,22.31821796,113.93399697,Islands,2.0,"Height Limit: 
"
tdc2p7,22.31797036,113.93412819,Islands,2.0,"Height Limit: 
"
tdcp2,22.28740848,114.15322694,Central & Western,0.0,"Height Limit: 2
Hourly<br>07:00 - 23:00 $23 per hour (private car)<br>23:00 - 07:00 $17 per hour (private car)<br><br>Day Park<br>Monday to Saturday from 07:00 - 19:00 $180 (private car)<br>Sunday to Public holiday from 08:00 - 00:00 $120 (private car)<br>08:00 - 23:00 $26 (motorcycles)<br><br>Night Park<br>Monday to Saturday from 19:00 - 07:00 $65 (private car)<br>23:00 - 08:00 $11 (motorcycles)<br><br>Monthly<br>Quarterly $12150 (private car)<br>Quarterly $1020 (motorcycles)<br>Quarterly $1890 (taxi)<br>"
tdcp3,22.37284735,114.11860252,Tsuen Wan,0.0,"Height Limit: 2
Hourly<br>07:00 - 23:00 $18 per hour (private car)<br>23:00 - 07:00 $14 per hour (private car)<br><br>Day Park<br>Monday to Saturday from 07:00 - 19:00 $100 (private car)<br>Sunday to Public holiday from 07:00 - 19:00 $100 (private car)<br>08:00 - 23:00 $26 (motorcycles)<br><br>Night Park<br>Monday to Saturday from 19:00 - 07:00 $60 (private car)<br>Sunday to Public holiday from 19:00 - 07:00 $60 (private car)<br>23:00 - 08:00 $11 (motorcycles)<br><br>Monthly<br>Monthly $2100 (private car)<br>Monthly $340 (motorcycles)<br>Monthly $630 (taxi)<br>"
tdcp5,22.28191055,114.16213972,Central & Western,0.0,"Height Limit: 2.1
Hourly<br>07:00 - 19:00 $23 per hour (private car)<br>19:00 - 07:00 $17 per hour (private car)<br><br>Day Park<br>Monday to Saturday from 07:00 - 19:00 $180 (private car)<br>Sunday to Public holiday from 08:00 - 00:00 $120 (private car)<br>08:00 - 23:00 $26 (motorcycles)<br><br>Night Park<br>Monday to Saturday from 19:00 - 07:00 $65 (private car)<br>23:00 - 08:00 $11 (motorcycles)<br><br>Monthly<br>Monthly $4400 (private car)<br>Monthly $340 (motorcycles)<br>Monthly $630 (taxi)<br>"
tdcp6,22.35548531,114.1273145,Kwai Tsing,0.0,"Height Limit: 2
Hourly<br>07:00 - 23:00 $15 per hour (private car)<br>23:00 - 07:00 $12 per hour (private car)<br><br>Day Park<br>Monday to Saturday from 07:00 - 19:00 $100 (private car)<br>Sunday to Public holiday from 07:00 - 19:00 $100 (private car)<br>08:00 - 23:00 $26 (motorcycles)<br><br>Night Park<br>Monday to Saturday from 19:00 - 07:00 $55 (private car)<br>Sunday to Public holiday from 19:00 - 07:00 $55 (private car)<br>23:00 - 08:00 $11 (motorcycles)<br><br>Monthly<br>Monthly $2100 (private car)<br>Monthly $340 (motorcycles)<br>Monthly $630 (taxi)<br>"
tdcp7,22.28177031,114.12885637,Central & Western,0.0,"Height Limit: 2.4
Hourly<br>07:00 - 23:00 $13 per hour (private car)<br>23:00 - 07:00 $13 per hour (private car)<br><br>Day Park<br>08:00 - 23:00 $26 (motorcycles)<br><br>Night Park<br>23:00 - 08:00 $11 (motorcycles)<br><br>Monthly<br>Quarterly $6900 (private car)<br>Quarterly $1020 (motorcycles)<br>Quarterly $1890 (taxi)<br>"
