STAT_VAR,STAT_PRES,CCYY,DC,Sex,Age,OBS_VALUE,SD_VALUE
PP,Raw_per_n,2020,A,,,236000,
PP,Raw_per_n,2020,B,,,173300,
PP,Raw_per_n,2020,C,,,537900,
PP,Raw_per_n,2020,D,,,260800,
PP,Raw_per_n,2020,E,,,323000,
PP,Raw_per_n,2020,F,,,433500,
PP,Raw_per_n,2020,G,,,419200,
PP,Raw_per_n,2020,H,,,414200,
PP,Raw_per_n,2020,J,,,686700,
PP,Raw_per_n,2020,S,,,500900,
PP,Raw_per_n,2020,K,,,310000,
PP,Raw_per_n,2020,L,,,495000,
PP,Raw_per_n,2020,M,,,640600,
PP,Raw_per_n,2020,N,,,314500,
PP,Raw_per_n,2020,P,,,307900,
PP,Raw_per_n,2020,R,,,684800,
PP,Raw_per_n,2020,Q,,,472800,
PP,Raw_per_n,2020,T,,,184700,
