STAT_VAR,STAT_PRES,CCYY,DC,Sex,Age,OBS_VALUE,SD_VALUE
PP,Raw_per_n,2020,A,M,0 - 14,11500,
PP,Raw_per_n,2020,A,M,15 - 24,10200,
PP,Raw_per_n,2020,A,M,25 - 34,15100,
PP,Raw_per_n,2020,A,M,35 - 44,14000,
PP,Raw_per_n,2020,A,M,45 - 54,14000,
PP,Raw_per_n,2020,A,M,55 - 64,19400,
PP,Raw_per_n,2020,A,M,>= 65,19900,
PP,Raw_per_n,2020,A,F,0 - 14,11600,
PP,Raw_per_n,2020,A,F,15 - 24,10700,
PP,Raw_per_n,2020,A,F,25 - 34,24300,
PP,Raw_per_n,2020,A,F,35 - 44,21800,
PP,Raw_per_n,2020,A,F,45 - 54,20000,
PP,Raw_per_n,2020,A,F,55 - 64,20600,
PP,Raw_per_n,2020,A,F,>= 65,22900,
PP,Raw_per_n,2020,B,M,0 - 14,8500,
PP,Raw_per_n,2020,B,M,15 - 24,6300,
PP,Raw_per_n,2020,B,M,25 - 34,9300,
PP,Raw_per_n,2020,B,M,35 - 44,10400,
PP,Raw_per_n,2020,B,M,45 - 54,10700,
PP,Raw_per_n,2020,B,M,55 - 64,14600,
PP,Raw_per_n,2020,B,M,>= 65,14700,
PP,Raw_per_n,2020,B,F,0 - 14,8300,
PP,Raw_per_n,2020,B,F,15 - 24,6900,
PP,Raw_per_n,2020,B,F,25 - 34,18500,
PP,Raw_per_n,2020,B,F,35 - 44,17100,
PP,Raw_per_n,2020,B,F,45 - 54,14800,
PP,Raw_per_n,2020,B,F,55 - 64,16200,
PP,Raw_per_n,2020,B,F,>= 65,16900,
PP,Raw_per_n,2020,C,M,0 - 14,30900,
PP,Raw_per_n,2020,C,M,15 - 24,22100,
PP,Raw_per_n,2020,C,M,25 - 34,30500,
PP,Raw_per_n,2020,C,M,35 - 44,33200,
PP,Raw_per_n,2020,C,M,45 - 54,33700,
PP,Raw_per_n,2020,C,M,55 - 64,43300,
PP,Raw_per_n,2020,C,M,>= 65,46300,
PP,Raw_per_n,2020,C,F,0 - 14,29300,
PP,Raw_per_n,2020,C,F,15 - 24,22600,
PP,Raw_per_n,2020,C,F,25 - 34,42600,
PP,Raw_per_n,2020,C,F,35 - 44,54400,
PP,Raw_per_n,2020,C,F,45 - 54,47600,
PP,Raw_per_n,2020,C,F,55 - 64,47500,
PP,Raw_per_n,2020,C,F,>= 65,54100,
PP,Raw_per_n,2020,D,M,0 - 14,15800,
PP,Raw_per_n,2020,D,M,15 - 24,11100,
PP,Raw_per_n,2020,D,M,25 - 34,14000,
PP,Raw_per_n,2020,D,M,35 - 44,15500,
PP,Raw_per_n,2020,D,M,45 - 54,17100,
PP,Raw_per_n,2020,D,M,55 - 64,20800,
PP,Raw_per_n,2020,D,M,>= 65,21800,
PP,Raw_per_n,2020,D,F,0 - 14,14700,
PP,Raw_per_n,2020,D,F,15 - 24,11000,
PP,Raw_per_n,2020,D,F,25 - 34,21200,
PP,Raw_per_n,2020,D,F,35 - 44,26500,
PP,Raw_per_n,2020,D,F,45 - 54,23400,
PP,Raw_per_n,2020,D,F,55 - 64,22900,
PP,Raw_per_n,2020,D,F,>= 65,25000,
PP,Raw_per_n,2020,E,M,0 - 14,18900,
